lon;lat;var1
148.5;38.5;-1.173775085393751
148.5;39.5;-1.089337377984333
148.5;40.5;-1.038218233321765
148.5;41.5;-0.9446672816113542
148.5;42.5;-0.8550848816587967
148.5;43.5;-0.6888078796087446
148.5;44.5;-0.521368147229154
148.5;45.5;-0.4449615682172079
148.5;46.5;-0.4480880436272618
148.5;47.5;-0.45274694256543785
148.5;48.5;-0.4505520158333885
148.5;49.5;-0.38063023569165944
148.5;50.5;-0.29550727663614984
148.5;51.5;-0.17605460991178304
148.5;52.5;-0.1248980104733669
148.5;53.5;-0.12217090424202788
148.5;54.5;-0.15524408836073192
148.5;55.5;-0.231707372801596
148.5;56.5;-0.27862966000267697
148.5;57.5;-0.28475058311980106
148.5;58.5;-0.2718513268735153
149.5;20.5;-0.13553183636628663
149.5;21.5;-0.16702391286174562
149.5;22.5;-0.2673224556134868
149.5;23.5;-0.3891818304311259
149.5;24.5;-0.502171053799876
149.5;25.5;-0.6067944510590516
149.5;26.5;-0.7124092044905737
149.5;27.5;-0.810675589890898
149.5;28.5;-0.842283794760696
149.5;29.5;-0.8863005225220606
149.5;30.5;-0.9302373952777284
149.5;31.5;-0.9656390074219062
149.5;32.5;-0.9202851860814808
149.5;33.5;-0.8142459435237988
149.5;34.5;-0.8525335185609868
149.5;35.5;-1.0072992535376024
149.5;36.5;-1.1803807698408837
149.5;37.5;-1.233624177230137
149.5;38.5;-1.1770707315124662
149.5;39.5;-1.1039450393677008
149.5;40.5;-1.0433427127474708
149.5;41.5;-0.9861603777588763
149.5;42.5;-0.8676106640190092
149.5;43.5;-0.6779662873730085
149.5;44.5;-0.504945396759184
149.5;45.5;-0.4288186991917491
149.5;46.5;-0.4340803651151972
149.5;47.5;-0.43652358862142676
149.5;48.5;-0.41490284346285405
149.5;49.5;-0.34529778947065654
149.5;50.5;-0.25771602211435424
149.5;51.5;-0.13698188380194135
149.5;52.5;-0.08359844048039901
149.5;53.5;-0.08931377573034592
149.5;54.5;-0.12681398003398672
149.5;55.5;-0.2049816881325143
149.5;56.5;-0.26129573786589644
149.5;57.5;-0.27841696134217275
149.5;58.5;-0.2954216761095236
149.5;59.5;-0.2385774245226187
150.5;20.5;-0.1551559832336964
150.5;21.5;-0.18337944771599626
150.5;22.5;-0.2722085636172667
150.5;23.5;-0.3789174571366897
150.5;24.5;-0.48789264888633055
150.5;25.5;-0.6154739758220404
150.5;26.5;-0.7260830885246237
150.5;27.5;-0.8295175327423681
150.5;28.5;-0.8704928558927275
150.5;29.5;-0.9159930802649711
150.5;30.5;-0.9585225340343527
150.5;31.5;-0.9905636683010675
150.5;32.5;-0.9421564127546118
150.5;33.5;-0.8615875945817046
150.5;34.5;-0.8645080562640267
150.5;35.5;-0.994110154752032
150.5;36.5;-1.1381145063990976
150.5;37.5;-1.2219069655653785
150.5;38.5;-1.207572486717266
150.5;39.5;-1.1358773317139748
150.5;40.5;-1.0759835081906266
150.5;41.5;-1.0221892870394464
150.5;42.5;-0.8959203094294608
150.5;43.5;-0.6846744070908671
150.5;44.5;-0.48260663337439347
150.5;45.5;-0.40420103063171914
150.5;46.5;-0.4084330745379916
150.5;47.5;-0.3911120869035188
150.5;48.5;-0.3598353217441535
150.5;49.5;-0.27992180647378684
150.5;50.5;-0.18572999459574666
150.5;51.5;-0.08081501105001881
150.5;52.5;-0.02499859488511721
150.5;53.5;-0.03851636879061485
150.5;54.5;-0.09601262075062145
150.5;55.5;-0.18375421924323498
150.5;56.5;-0.23948376935413632
150.5;57.5;-0.26641833541356597
150.5;58.5;-0.3056304466381372
150.5;59.5;-0.26786671235750864
151.5;20.5;-0.19294605375090662
151.5;21.5;-0.2201522852236847
151.5;22.5;-0.28152752341232334
151.5;23.5;-0.37364708534475
151.5;24.5;-0.46617199422914296
151.5;25.5;-0.6126375763423398
151.5;26.5;-0.7362510874750519
151.5;27.5;-0.8241788865474141
151.5;28.5;-0.9035392185975786
151.5;29.5;-0.951594832147307
151.5;30.5;-0.9924536386068664
151.5;31.5;-1.0123733668773434
151.5;32.5;-0.9759047829197814
151.5;33.5;-0.8907067923180677
151.5;34.5;-0.8972836727311716
151.5;35.5;-0.9913819773049614
151.5;36.5;-1.1309070607026452
151.5;37.5;-1.237897805867726
151.5;38.5;-1.2288709910035271
151.5;39.5;-1.1797452736125293
151.5;40.5;-1.0956732879874593
151.5;41.5;-1.055698726640284
151.5;42.5;-0.894695927356254
151.5;43.5;-0.695881724695335
151.5;44.5;-0.4796727950891552
151.5;45.5;-0.39609022739605343
